name,city,total_reviews,review_content,overall_rating,food_rating,service_rating,ambience_rating,date
Mary,Pittsburgh,17 reviews,7 of us were in NYC for a pub crawl for my friends 60th  BD - she heard about this restaurant from a NYC talk show host & wanted to end our night there It was wonderful - restaurant honored request I placed on Open table - courtyard & round table..Prices reasonable and good size portions definitely would go back next time I am in little italy,5,5,5,5,Dined on August 11 2024
Michelle,Washington DC,9 reviews,Always great!  Loved the Chicken francese and don’t miss the Burrata appetizer,5,5,4,5,Dined on August 10 2024
BethannR,Philadelphia,3 reviews,Absolutely wonderful! As always. A yearly trip and it never disappoints,5,5,5,5,Dined on August 10 2024
Nathalie,New York City,13 reviews,A good find in Little Italy. The friendless wait staff I have encountered in a long time.,3,3,5,3,Dined on August 4 2024
OpenTable Diner,New York City,2 reviews,We went for Restaurant week but ordered off the regular menu  it was wonderful  great servicePasta dishes were amazingWe sang with an accordion player who came around and we celebrated a birthday in our partyGreat experience  would returnHighly recommend,5,5,5,5,Dined on August 2 2024
OpenTable Diner,New York City,1 review,Food was ok not the best but not bad. Would I go back personally no but the drinks were great and the customer service was really good.,3,3,4,3,Dined on July 14 2024
OpenTable Diner,Tallahassee,1 review,The food service environment and the garden especially was great. My parents were coming to visit NYC and wanted to go to Little Italy so I did some research and saw this place had great reviews so I decided to bring them here and it definitely lived up to them. Definitely coming back!,5,5,5,5,Dined on July 14 2024
OpenTable Diner,New York City,1 review,El trato excelente y la comida espectacular muy recomendable,5,5,5,5,Dined on July 6 2024
HassanA,Toronto,1 review,Great vibes and amazing service with a beautiful selection of seating,5,4,5,5,Dined on July 6 2024
OpenTable Diner,Richmond,1 review,Food and service was outstanding. Access to bathroom was not convenient,4,5,5,4,Dined on June 23 2024
OpenTable Diner,Washington DC,45 reviews,Food tasted great. Francisco was a terrific server. Attentive friendly and knowledgeable. This has been one of our favorite restaurants for 25 years.,5,5,5,4,Dined on June 20 2024
DANIELAM,New York City,5 reviews,Great southern Italian food and staff!! Very accomodating and wonderful service !!,5,5,5,5,Dined on June 16 2024
triciam,Philadelphia,52 reviews,Wasn’t blown away by the food. Cute inside. Service was outstanding,4,3,5,4,Dined on June 10 2024
OpenTable Diner,New York City,1 review,Can’t say nothing but excellent service on this place if you like Italian cuisine this is a must in little Italy.,5,4,5,5,Dined on June 2 2024
Jack,New York City,12 reviews,Topical pretty good Italian restaurant. Pasta dishes in mid $20 level a little pricey.,3,2,5,3,Dined on May 19 2024
OpenTable Diner,Las Vegas,6 reviews,Always a great dinner experience. We love Il Cortile.,5,5,5,5,Dined on May 18 2024
GregD,Fort Lauderdale,50 reviews,It was a chilly night so all the tables outside were empty. Inside we sat adjacent to the atrium a light and plant-filled space. The wait staff worked very well together not a pause in the service.  The food was good portions large. I had the weekend ragu liked the tomato gravy not too sweet. My husband had veal parmigiana   two large cutlets and a big pile of al dente penne. We started with the ceasar salad a creamy garlicky dresssing. Overall we enjoyed everything.,4,4,5,5,Dined on May 5 2024
Stone,Atlanta Metro,105 reviews,FANTASTIC!Greeted at the Door warmly by my Friend Manny.My Pal Frank was my Server and was TREMENDOUS as always.The Sunday Sauce/Gravy second to none!A wonderful meal/experience.Thank you again Il Cortile Team!!,5,5,5,5,Dined on April 21 2024
OpenTable Diner,San Francisco,1 review,Cute restaurant in Little Italy.  Would definitely go here again.,5,5,5,5,Dined on April 18 2024
JayD,Charlotte,2 reviews,Disappointed in the food quality. The restaurant had a cool vibe to it.  I had the Ragu and it was nothing special. My wife had the eggplant Parm and it was OK. Overall I was not impressed. Seems more like a tourist spot than a legit quality Italian restaurant.,2,2,3,4,Dined on April 18 2024
edwardc,New York City,11 reviews,Waiter Josie is outstanding. Great service. Awesome food. Always a great meal,5,5,5,5,Dined on April 14 2024
Emma,Philadelphia,22 reviews,We always enjoy our meals at Il Cortile.  From the time we arrive and are warmly greeted to the end of the meal we feel special.  The Courtyard has lovely ambiance.  The food is always great and the wait staff are friendly and professional. One evening our waiter taught me how to fold a napkin.,5,5,5,5,Dined on April 11 2024
OpenTable Diner,New York City,4 reviews,Made resies 2 weeks in advance.  Not surw why we pucked this place but i must have read about it somewhere… Our first table was right next to kitchen door.  Not what i want to look into when I dine.  Moved into the fake flowered dining court.  Cheesy!  Food - son had cheesy pizza … no sauce… it was good… or ok.  Daughter had stuffed gnocchi… nothing anyone suspected.  It was more like 4 big Raviolis but potato.  It was ok.  I had the seafood pasta… the seafood undercooked.  Husband had veal.  Very mediocre.  I wouldn’t recommend this place.  Sorry.,2,2,3,2,Dined on March 31 2024
OpenTable Diner,New York City,26 reviews,All around we had a wonderful experience here. Friendly staff very accommodating and excellent food! After all these years I finally found a great restaurant on Mulberry St!,5,4,5,5,Dined on March 25 2024
Divatty1,Jackson Hole,2 reviews,A great all around experience - the best in Little Italy - food service ambiance all top notch!!,5,5,5,5,Dined on March 24 2024
RoyN,Austin,19 reviews,It is really a neat place. The food came out really quickly…drinks were great. It was a great experience and would return. Food was very solid.,5,4,4,5,Dined on March 23 2024
OpenTable Diner,New York City,1 review,My husband and I hadn’t been to Il Cortile in 15 or more years. We had such wonderful memories we were certain it wouldn’t be as great as we remembered but it was!It was as pretty as we recalled. The food was delicious service excellent.We shared a crisp Caesar salad to start then I had the cappellini with tomato sauce peas and prosciutto. My husband had the meatballs. All of it was terrific. We even had a tartufo for dessert.We will be back soon!,5,5,5,5,Dined on March 21 2024
ShannonW,Houston,4 reviews,Excellent food and service.   Gorgeous dining room felt cozy and quiet.,5,5,5,5,Dined on March 11 2024
OpenTable Diner,New York City,2 reviews,Extraordinario trato servicio y comida. Hablan español y te cuentan anécdotas de artistas que han estado allí,5,5,5,5,Dined on February 26 2024
OpenTable Diner,Tampa,4 reviews,Oh. My. God. Had the  eggplant rollatini and the Saturday Ragu del Macellaio. Fabulous. The braciola was the best I’ve had other than my Grandmother’s. Will definitely return next time I’m in NYC.,5,5,5,5,Dined on February 25 2024
EileenP,Greater Boston,1 review,We made reservation for an early time so we had no problem getting in. We were greeted at the door by the friendly staff! The twinkling lights added to the ambiance! Everything we had was delicious and the cab sav was excellent! Can't wait to go back!,5,5,5,5,Dined on February 19 2024
Allen,New York City,1 review,Great food. Great service. Had to wait a bit even with a reservation but it was a very busy night. Salad wasnt a hit but the short rib ravioli were to die for. Overall very good.,5,5,5,3,Dined on February 15 2024
DPF1,Atlanta Metro,40 reviews,Amazing…..as usual.  Food was spectacular and the service was top notch. Will always come here at least once whenever we get into the City!,5,5,5,5,Dined on February 10 2024
Cookielady,New York City,9 reviews,The Atrium is such a lovely peaceful space. Filled with light and live plants.The service timing of our meal was impeccable and the food superb. The best of “Little Italy”!,5,5,5,5,Dined on February 4 2024
OpenTable Diner,Austin,5 reviews,Kat and team were amazing!!  The eggplant rollitini was outrageous!,5,5,5,5,Dined on January 28 2024
Steph,Cheshire,3 reviews,Incredible food and great service! Some of the best pasta I’ve ever had!,5,5,5,5,Dined on January 28 2024
JamieB,Memphis/West TN,13 reviews,The best food drinks and service.  Homemade sangria both entrees  we ordered were amazing.  Great people working there.  Will have to come back and visit again.,5,5,5,5,Dined on January 15 2024
StevenT,New York City,20 reviews,The go to place for Italian food and the Best in Little Italy by far!!,5,5,5,5,Dined on January 15 2024
MargaretT,Tampa,9 reviews,Had a large party of 12 - service food and waitstaff were excellent! Always have a great time when visiting.,5,5,5,5,Dined on December 31 2023
NCjim,Washington DC,19 reviews,Very nice dining experience. They were very busy but we were seated promptly. The service and food were excellent. Would definitely go back.,5,5,5,5,Dined on December 31 2023
JenT,Philadelphia,36 reviews,Took my family there on a day trip into the city. The food was great. We had calamari a meatball veal parm and a few pasta dishes. My kids said the linguini Alfredo with chicken was the best they’ve ever had. I had the rigatoni speciale and it was delicious. Would go back!,4,5,4,4,Dined on December 31 2023
OpenTable Diner,New York City,3 reviews,Authentic Italian food. With a fabulous ambiance. Highly recommend,5,5,5,5,Dined on December 31 2023
JohnB,Orlando,1 review,The only place to eat in Little Italy.   Don't accept substitutes.  Skip the touristy Carmine's in Times Square with top dollar prices and Olive Garden quality.  Il Cortile is real Italian food old school  italian waiters and chef.  Don't go and eat like an Amercano.  Spend some time do all the courses.  Take your time and enjoy.,5,4,5,5,Dined on December 30 2023
OpenTable Diner,Minneapolis,1 review,We had 12 people for my mother’s 75th birthday. It was the perfect venue for a large group.,5,5,4,5,Dined on December 30 2023
TerriD,Chicago,12 reviews,We were running about 15 minutes late because our driver was stuck in traffic and when I called to explain they told me they would be giving my table away because they only hold it for 15 minutes. I did book a table in the atrium which they did not give me. The food was very good. However when we received the bill I didn’t notice that a tip was already figured in and not mentioned to us so I added the tip on the credit card along with the service charge they put on.I feel the waiter should have pointed it out.,3,5,4,4,Dined on December 29 2023
Melanie,Greater Boston,6 reviews,I would go again in a millisecond. The food was great and the ambience beautiful. The waiters were very attentive. I had the fish special which came with risotto. My daughter had chicken parm. We both enjoyed it tremendously grazie!,5,5,5,5,Dined on December 29 2023
OpenTable Diner,Naples,1 review,Christmas Eve tradition for many years. We come to NyC for Xmas every year and Ill Cortille is always on the list. Excellent. If you go on Sat or sun try the Sunday sauce if it’s still available. U too pull think you’re still a child at grandmas Sunday dinner.,5,5,5,5,Dined on December 25 2023
OpenTable Diner,Philadelphia,2 reviews,Amazing experience!!! Food is always good! Can’t wait to come back.,5,5,5,5,Dined on December 24 2023
OpenTable Diner,New York City,1 review,Service was excellent!  Quick service and very attentive.  Food was great.,5,5,5,5,Dined on December 19 2023
edwardc,New York City,11 reviews,Excellent food and service! Always a great experience,5,5,5,5,Dined on December 18 2023
RogerK,New York City,8 reviews,I hadn't been to Il Cortile in a few years since my last trip to NYC. I had forgotten how good the food was. The service was outstanding. I am already planning my next trip to NYC and Il Cortile will be on the list of todo's.,5,5,5,5,Dined on December 17 2023
OpenTable Diner,Dallas,1 review,Great food server was attentive and gave us great suggestions and solutions. 4 kids had a great time and a 7 piece Christmas band came through and serenaded the group,5,5,5,5,Dined on December 17 2023
OpenTable Diner,Orlando,1 review,Great service. Great food. A true gem! Will definitely be back any time we’re in the City!,5,5,5,5,Dined on December 16 2023
OpenTable Diner,Denver,3 reviews,Exceptional service and high quality meal. Manuel and Mario were outstanding hosts for our group!,5,5,5,5,Dined on December 14 2023
JenniferH,New York City,5 reviews,Amazing food and service!  Wonderful for large celebrations!,5,5,5,5,Dined on December 13 2023
AmyR,Washington DC,7 reviews,The atmosphere was quaint.  Like the restaurant had been around for years which was a positive first sign.  However the food was mediocre at best and unfortunately our waiter was extremely rude.  I would not go back nor would I recommend the restaurant.  Too many other great choices in the neighborhood.,1,1,1,2,Dined on December 10 2023
JeffR,Orlando,3 reviews,Absolutely delicious! We have been going here for years and one thing remains the same the food service and atmosphere. Outstanding!,5,5,5,5,Dined on December 10 2023
Foodlovah,New York City,15 reviews,It’s our favorite place in Little Italy! We love the servers and the food rocks.,5,5,5,5,Dined on December 9 2023
DavidH,Atlanta Metro,12 reviews,Great food great service and friendly staff.  The stuffed gnocchi and lasagna are delicious!,5,5,5,4,Dined on December 7 2023
OpenTable Diner,New York City,33 reviews,The service was wonderful and the holiday decorations made the place very festive.,4,4,5,5,Dined on December 4 2023
MiloneR,New York City,45 reviews,If was our first visit to IL CortileGot there early so was able to enjoy a cocktail We were escorted to our table and greeted by our serverFood was very good from appetizers to our entrees,5,4,5,4,Dined on December 3 2023
RichardS,Atlantic City,3 reviews,Food was delicious decorated beautifully for Christmas.  Service was awesome.,5,5,5,5,Dined on December 3 2023
StevenT,New York City,20 reviews,Best Restaurant in Little Italy….Never disappoints,5,5,5,5,Dined on December 2 2023
OpenTable Diner,Phoenix,2 reviews,Service was excellent servers with smiles and anticipating what we would need. Cozy feeling unrushed everything we could have asked for.,5,5,5,5,Dined on November 24 2023
edwardc,New York City,11 reviews,Food is always top shelf as is the service. Very attentive and friendly.,5,5,5,5,Dined on November 22 2023
DecaturIsGreater,Atlanta Metro,20 reviews,Frank is wonderful food is excellent.  This was my second visit.,5,5,5,5,Dined on November 20 2023
MikeC,New York City,2 reviews,Food was exceptional service on point and a great value for the quality of food served. Would highly recommend.,5,5,5,4,Dined on November 18 2023
OpenTable Diner,Greater Boston,1 review,Our waiter Frank was the best! We got to sit at the sopranos table which was also cool. Def recommend!,5,5,5,5,Dined on November 12 2023
Vinnie,New York City,29 reviews,always outstanding never disappointsservice (particulary Angelo) is particularly impressive,5,5,5,5,Dined on November 12 2023
JoleeT,New York City,9 reviews,Food and atmosphere were wonderful. Staff was very attentive and friendly.  Seems like a great place for date night or dinner with friends!  We will definitely be back! The orange sorbet dessert was a perfect ending to the meal!,5,5,5,5,Dined on November 12 2023
Coco,New York City,4 reviews,Waiter was not friendly. Menu touted dietary preferences can be accommodated yet upon requesting a salad the waiter brusquely said NO the kitchen is too busy.   They ran out of two desserts we ordered.  Veal Parmegian was not as outstanding as I remembered when I used to bring clients to the restaurant.,2,2,2,5,Dined on November 5 2023
MelissaR,Baltimore,4 reviews,Delicious food wonderful service and overall good time.,5,5,5,4,Dined on November 5 2023
Micky,New York City,24 reviews,Very good food but a little too noisy for my taste.,4,5,4,4,Dined on November 5 2023
CarolC,Hawaii,13 reviews,Food & service was outstanding. Veal & Ravioli was amazing. Great atmosphere and worth checking out in Little Italy.,5,5,5,5,Dined on October 24 2023
dddd,Alabama,1 review,My favorite little Italy spot. Brought friends who also fell in love.,5,5,5,5,Dined on October 21 2023
OpenTable Diner,Greater Boston,4 reviews,Great food and service.  Restaurant had a nice vibe inside felt open and a little bit of Italy,5,5,5,5,Dined on October 15 2023
OwenB,New York City,6 reviews,Second visit. Simply LOVE this place and the people. Oh the food is fantastic as well.,5,5,5,5,Dined on October 13 2023
Vincent,New York City,60 reviews,Il Cortile never disappoints. It's food is consistently great. Ourt server Angelo and bartender Hassan took great care of us.,5,5,5,5,Dined on October 6 2023
StevenT,New York City,20 reviews,Great food and service and ambienceA class above of all the other restaurants in little Italy…,5,5,5,5,Dined on October 1 2023
OpenTable Diner,New York City,1 review,There should have been music. Our waiter was wonderful angelo!,5,5,5,3,Dined on September 24 2023
Scorpi,Miami,17 reviews,Every time we travel to NYC this is our favorite Italian Restaurant we visit!!,5,5,5,5,Dined on September 23 2023
StevenT,New York City,20 reviews,Best restaurant in Little ItalyFood service and atmosphere,5,5,5,5,Dined on September 23 2023
OpenTable Diner,New York City,16 reviews,Always visit Il Cortile during the San Gennaro feast food and service is great,5,5,5,5,Dined on September 22 2023
YlianaC,San Francisco,1 review,We were 20 minutes late for our reservation but they were still able to seat us on a very busy Saturday night.Food was very goodEven with the windows open we could not talk to the person next to us without screaming. Service was ok.. I guess not surprising given that we were there prime time on a Saturday night.,4,5,4,3,Dined on September 17 2023
WandaSpunky,New York City,31 reviews,We were super rushed server said no substitutions water served warm noice had to ask for oil grated cheese. We split Cesar salad portion split was small server never asked if we wanted more appetizers as we said we would order more he took our dinner order and the food came out not having a chance to order additional appetizers. Food was ok I’ve eaten here before and the food n service on non feast day are better.  Yes I recommend this restaurant based on food was good.,3,4,3,4,Dined on September 17 2023
OpenTable Diner,New York City,1 review,Friendly delicious comforting just what the family needed for a day out in NY. Would definitely go back.,5,5,5,5,Dined on September 3 2023
OpenTable Diner,Miami,1 review,Excelente servicio comida bien elaborada ambiente muy agradable. Lo recomiendo,5,5,5,5,Dined on September 3 2023
GregC,Coastal Georgia,6 reviews,We always have dinner at Il Cortile whenever we visit NYC. The service is amazing We enjoy sitting outside weather permitting. The menu and specials are delicious!! If you have room for dessert I recommend the Pana Cotta Outstanding!!!!!ThanksGreg,5,5,5,5,Dined on August 28 2023
StewS,Philadelphia,3 reviews,Fabulous food and fabulous service. We love this restaurant.,5,5,5,5,Dined on August 12 2023
WesleyD,Richmond,3 reviews,My wife and I thoroughly enjoyed our dinner here.  Staff was awesome ambience was beautiful and relaxing.  Food was absolutely anazing…you have to try the chocolate cake - OMG best I have ever had.,5,5,5,5,Dined on August 12 2023
OpenTable Diner,New York City,2 reviews,There’s no better place to take your out of town guests for the complete authentic Little Italy experience! Food is incredible. It’s definitely on the louder side of course!,5,5,5,5,Dined on August 6 2023
faithr,Philadelphia,1 review,As usual Il Cortile was the perfect place to celebrate my birthday! ❤️❤️❤️,5,5,5,5,Dined on August 6 2023
OpenTable Diner,New York City,1 review,Get the Ragu on Saturday or Sunday! It was so delicious. The gnocchi was also spot on! Skip the calamari.,5,5,5,5,Dined on August 6 2023
